;Gene;RNA;ID;Monomer;ID.1;Process;KO index
35;alr;EG10001_RNA;ALARACEBIOSYN-MONOMER;Metabolism;;;16
217;dfp;EG10004_RNA;EG10004-MONOMER;Metabolism;;;19
206;dcuB;EG10006_RNA;DCUB-MONOMER;Metabolism;;;20
444;hisM;EG10007_RNA;HISM-MONOMER;Metabolism;;;21
170;cydC;EG10012_RNA;CYDC-MONOMER;Metabolism;;;25
348;garL;EG10016_RNA;KDGALDOL-MONOMER;Metabolism;;;29
479;ispB;EG10017_RNA;OPPSYN-MONOMER;Metabolism;;;30
5;aceA;EG10022_RNA;ISOCIT-LYASE-MONOMER;Metabolism;;;34
6;aceB;EG10023_RNA;MALATE-SYNTHASE;Metabolism;;;35
7;aceE;EG10024_RNA;E1P-MONOMER;Metabolism;;;36
8;aceF;EG10025_RNA;E2P-MONOMER;Metabolism;;;37
9;ackA;EG10027_RNA;ACETATEKINA-MONOMER;Metabolism;;;39
18;add;EG10030_RNA;ADENODEAMIN-MONOMER;Metabolism;;;42
20;adhE;EG10031_RNA;ADHE-MONOMER;Metabolism;;;43
23;adk;EG10032_RNA;ADENYL-KIN-MONOMER;Metabolism;;;44
29;alaS;EG10034_RNA;ALAS-MONOMER;Metabolism;;;46
30;aldA;EG10035_RNA;LACTALDDEHYDROG-MONOMER;Metabolism;;;47
839;puuC;EG10036_RNA;ALDHDEHYDROG-MONOMER;Metabolism;;;48
41;amn;EG10039_RNA;AMP-NUCLEOSID-MONOMER;Metabolism;;;50
190;cysQ;EG10043_RNA;EG10043-MONOMER;Metabolism;;;54
43;ansA;EG10045_RNA;ANSA-MONOMER;Metabolism;;;56
44;ansB;EG10046_RNA;ANSB-MONOMER;Metabolism;;;57
46;apaH;EG10048_RNA;EG10048-MONOMER;Metabolism;;;59
48;appA;EG10049_RNA;APPA-MONOMER;Metabolism;;;60
51;apt;EG10051_RNA;ADENPRIBOSYLTRAN-MONOMER;Metabolism;;;62
53;araA;EG10052_RNA;ARABISOM-MONOMER;Metabolism;;;63
54;araB;EG10053_RNA;RIBULOKIN-MONOMER;Metabolism;;;64
55;araC;EG10054_RNA;PD00242;Transcription;Regulation;;65
56;araD;EG10055_RNA;RIBULPEPIM-MONOMER;Metabolism;;;66
57;araE;EG10056_RNA;ARAE-MONOMER;Metabolism;;;67
58;araF;EG10057_RNA;ARAF-MONOMER;Metabolism;;;68
59;araG;EG10058_RNA;ARAG-MONOMER;Metabolism;;;69
60;araH;EG10059_RNA;ARAH-MONOMER;Metabolism;;;70
61;arcA;EG10061_RNA;ARCA-MONOMER;Transcription;Regulation;;72
62;argA;EG10063_RNA;N-ACETYLTRANSFER-MONOMER;Metabolism;;;74
63;argB;EG10064_RNA;ACETYLGLUTKIN-MONOMER;Metabolism;;;75
64;argC;EG10065_RNA;N-ACETYLGLUTPREDUCT-MONOMER;Metabolism;;;76
65;argD;EG10066_RNA;ACETYLORNTRANSAM-MONOMER;Metabolism;;;77
67;argF;EG10067_RNA;CHAINF-MONOMER;Metabolism;;;78
68;argG;EG10068_RNA;ARGSUCCINSYN-MONOMER;Metabolism;;;79
70;argI;EG10069_RNA;CHAINI-MONOMER;Metabolism;;;80
72;argR;EG10070_RNA;PD00194;Transcription;Regulation;;81
73;argS;EG10071_RNA;ARGS-MONOMER;Metabolism;;;82
74;argT;EG10072_RNA;ARGT-MONOMER;Metabolism;;;83
77;aroA;EG10073_RNA;AROA-MONOMER;Metabolism;;;84
78;aroB;EG10074_RNA;AROB-MONOMER;Metabolism;;;85
79;aroC;EG10075_RNA;AROC-MONOMER;Metabolism;;;86
80;aroD;EG10076_RNA;AROD-MONOMER;Metabolism;;;87
81;aroE;EG10077_RNA;AROE-MONOMER;Metabolism;;;88
82;aroF;EG10078_RNA;AROF-MONOMER;Metabolism;;;89
83;aroG;EG10079_RNA;AROG-MONOMER;Metabolism;;;90
84;aroH;EG10080_RNA;AROH-MONOMER;Metabolism;;;91
85;aroK;EG10081_RNA;AROK-MONOMER;Metabolism;;;92
86;aroL;EG10082_RNA;AROL-MONOMER;Metabolism;;;93
87;aroP;EG10084_RNA;AROP-MONOMER;Metabolism;;;95
94;asd;EG10088_RNA;ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER;Metabolism;;;99
95;asnA;EG10091_RNA;ASNSYNA-MONOMER;Metabolism;;;102
96;asnB;EG10092_RNA;ASNSYNB-MONOMER;Metabolism;;;103
97;asnS;EG10094_RNA;ASNS-MONOMER;Metabolism;;;105
98;aspA;EG10095_RNA;ASPARTASE-MONOMER;Metabolism;;;106
99;aspC;EG10096_RNA;ASPAMINOTRANS-MONOMER;Metabolism;;;107
100;aspS;EG10097_RNA;ASPS-MONOMER;Metabolism;;;108
109;atpA;EG10098_RNA;ATPA-MONOMER;Metabolism;;;109
110;atpB;EG10099_RNA;ATPB-MONOMER;Metabolism;;;110
111;atpC;EG10100_RNA;ATPC-MONOMER;Metabolism;;;111
112;atpD;EG10101_RNA;ATPD-MONOMER;Metabolism;;;112
113;atpE;EG10102_RNA;ATPE-MONOMER;Metabolism;;;113
114;atpF;EG10103_RNA;ATPF-MONOMER;Metabolism;;;114
115;atpG;EG10104_RNA;ATPG-MONOMER;Metabolism;;;115
116;atpH;EG10105_RNA;ATPH-MONOMER;Metabolism;;;116
117;avtA;EG10107_RNA;VALINE-PYRUVATE-AMINOTRANSFER-MONOMER;Metabolism;;;118
121;betA;EG10109_RNA;CHD-MONOMER;Metabolism;;;120
122;betB;EG10110_RNA;BADH-MONOMER;Metabolism;;;121
123;betT;EG10112_RNA;BETT-MONOMER;Metabolism;;;123
124;bglF;EG10115_RNA;BGLF-MONOMER;Metabolism;;;126
